top - 20:08:01 up 36 min,  1 user,  load average: 0.40, 0.11, 0.04
Tasks: 277 total,   1 running, 276 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,100.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1932.4 total,    114.7 free,   1382.7 used,    613.8 buff/cache     
MiB Swap:    975.0 total,    913.0 free,     62.0 used.    549.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt_pol+
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt/0
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    168 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    170 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    171 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    174 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    176 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    178 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    201 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    203 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    205 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    209 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    213 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    215 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    231 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    263 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    308 root      20   0       0      0      0 S   0.0   0.0   0:00.05 jbd2/sd+
    309 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    352 root      20   0   50324  17620  16048 S   0.0   0.9   0:00.28 systemd+
    371 root      20   0  227028    260     12 S   0.0   0.0   0:00.00 vmware-+
    383 root      20   0   28508   6916   4412 S   0.0   0.3   0:00.09 systemd+
    454 root     -51   0       0      0      0 S   0.0   0.0   0:00.02 irq/60-+
    457 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/61-+
    458 systemd+  20   0   90260   6984   6036 S   0.0   0.4   0:00.02 systemd+
    459 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/62-+
    469 root      20   0   52524  10752   9244 S   0.0   0.5   0:00.03 VGAuthS+
    480 root      20   0  167708  10764   7472 S   0.0   0.5   0:01.20 vmtoolsd
    484 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    835 root      20   0  237196   7896   6992 S   0.0   0.4   0:00.03 account+
