top - 23:42:49 up 37 min,  1 user,  load average: 0.32, 0.26, 0.12
Tasks: 377 total,   1 running, 376 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  4.5 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3866.8 total,   1109.9 free,   1539.5 used,   1541.7 buff/cache     
MiB Swap:   3724.0 total,   3724.0 free,      0.0 used.   2327.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
    128 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
    176 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
