Netid State  Recv-Q Send-Q                                          Local Address:Port           Peer Address:Port Process                                                                                                                                                                                                                                     
nl    UNCONN 0      0                                                          15:761                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:-1488249558                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:725                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:-1563119844                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:-1371180956                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:-1968891213                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:756                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:746                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:-1590492379                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:1                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          16:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          16:783                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          16:-1126115715                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          16:-1126115715                *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          18:0                          *                                                                                                                                                                                                                                                 
p_dgr UNCONN 0      0                                                      [2054]:ens33                      *      users:(("NetworkManager",pid=783,fd=25))                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 27836                     * 27883 users:(("snapd-desktop-i",pid=2648,fd=3))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28744                     * 28743 users:(("systemd-journal",pid=381,fd=141),("systemd",pid=1,fd=312))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 26658                     * 26657 users:(("xdg-document-po",pid=1930,fd=8))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 25584                     * 25785 users:(("dbus-daemon",pid=716,fd=72))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 26478                     * 26479 users:(("gsd-sharing",pid=2251,fd=8))                                                                                                                                                                                                      
u_dgr ESTAB  0      0                                                           * 23362                     * 23363 users:(("systemd",pid=1,fd=125))                                                                                                                                                                                                           
u_dgr ESTAB  0      0                                                           * 18432                     * 12169 users:(("cron",pid=744,fd=4))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 29301                     * 27970 users:(("dbus-daemon",pid=716,fd=57))                                                                                                                                                                                                      
u_str LISTEN 0      4096                                      /tmp/.ICE-unix/2083 26028                     * 0     users:(("gnome-session-b",pid=2083,fd=12))                                                                                                                                                                                                 
u_dgr ESTAB  0      0                                                           * 22626                     * 12169 users:(("rpc.mountd",pid=1061,fd=20))                                                                                                                                                                                                      
u_dgr ESTAB  0      0                                                           * 14631                     * 12171 users:(("(udev-worker",pid=3074,fd=5),("systemd-udevd",pid=457,fd=5))                                                                                                                                                                      
u_str ESTAB  0      0                        /run/user/1000/gvfsd/socket-7KNFTT6O 30280                     * 30279 users:(("gvfsd-recent",pid=2969,fd=9))                                                                                                                                                                                                     
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27967                     * 29290 users:(("gnome-shell",pid=2121,fd=118),("gnome-shell",pid=2121,fd=117))                                                                                                                                                                    
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27936                     * 27935 users:(("dbus-daemon",pid=2131,fd=22))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27798                     * 27799 users:(("gsd-wacom",pid=2255,fd=10))                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 27397                     * 26417 users:(("gsd-rfkill",pid=2246,fd=5))                                                                                                                                                                                                       
u_str LISTEN 0      1                                           /tmp/.X11-unix/X0 27154                     * 0     users:(("Xwayland",pid=2488,fd=5))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 21732                     * 22708 users:(("kerneloops",pid=1081,fd=4))                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 27849                     * 28880 users:(("gsd-media-keys",pid=2231,fd=13))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26835                     * 26836 users:(("gnome-session-c",pid=2059,fd=2),("gnome-session-c",pid=2059,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                           /run/rpcbind.sock 22821                     * 22820 users:(("rpcbind",pid=524,fd=9))                                                                                                                                                                                                           
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 15205                     * 15202 users:(("systemd-journal",pid=381,fd=19),("systemd",pid=1,fd=247))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 28674                     * 28675 users:(("ibus-engine-sim",pid=2536,fd=8))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26458                     * 27414 users:(("gvfs-udisks2-vo",pid=2331,fd=2),("gvfs-udisks2-vo",pid=2331,fd=1))                                                                                                                                                                
u_str LISTEN 0      1                                           /tmp/.X11-unix/X1 27156                     * 0     users:(("gnome-shell",pid=2121,fd=37))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 25800                     * 25592 users:(("xdg-document-po",pid=1930,fd=2),("xdg-document-po",pid=1930,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 30329                     * 30331 users:(("gnome-terminal-",pid=2993,fd=2),("gnome-terminal-",pid=2993,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 29297                     * 29298 users:(("xdg-desktop-por",pid=2805,fd=10))                                                                                                                                                                                                 
u_str ESTAB  0      0                        /home/kali/.cache/ibus/dbus-c9Wha4yT 28918                     * 28917 users:(("ibus-daemon",pid=2214,fd=16))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 29274                     * 29273 users:(("dbus-daemon",pid=716,fd=52))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 29247                     * 27932 users:(("dbus-daemon",pid=716,fd=48))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27794                     * 27796 users:(("gsd-color",pid=2220,fd=10))                                                                                                                                                                                                       
u_str ESTAB  0      0                        /home/kali/.cache/ibus/dbus-c9Wha4yT 26616                     * 26615 users:(("ibus-daemon",pid=2214,fd=11))                                                                                                                                                                                                     
