Netid State  Recv-Q Send-Q                                          Local Address:Port           Peer Address:Port Process                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27924                     * 29238 users:(("gjs",pid=2747,fd=8))                                                                                                                                                                                                              
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27803                     * 27802 users:(("dbus-daemon",pid=2131,fd=14))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 24693                     * 24692 users:(("systemd-journal",pid=381,fd=55),("systemd",pid=1,fd=141))                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 22863                     * 21846 users:(("dbus-daemon",pid=716,fd=39))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28971                     * 28972 users:(("gsd-xsettings",pid=2693,fd=3))                                                                                                                                                                                                    
u_str ESTAB  0      0                                          /run/user/1000/bus 27446                     * 26614 users:(("dbus-daemon",pid=1909,fd=32))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27387                     * 27388 users:(("gsd-smartcard",pid=2252,fd=2),("gsd-smartcard",pid=2252,fd=1))                                                                                                                                                                    
u_str ESTAB  0      0                                          /run/user/1000/bus 27554                     * 27553 users:(("dbus-daemon",pid=1909,fd=60))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 26463                     * 26462 users:(("dbus-daemon",pid=1909,fd=41))                                                                                                                                                                                                     
u_dgr UNCONN 0      0                                                           * 30258                     * 0     users:(("nautilus",pid=2944,fd=13))                                                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28880                     * 27849 users:(("dbus-daemon",pid=716,fd=89))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 26009                     * 26901 users:(("dbus-daemon",pid=1909,fd=18))                                                                                                                                                                                                     
u_dgr ESTAB  0      0                                                           * 24471                     * 12169 users:(("gdm-session-wor",pid=1868,fd=8))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 27920                     * 27921 users:(("gjs",pid=2747,fd=6))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28959                     * 28958 users:(("systemd-journal",pid=381,fd=146),("systemd",pid=1,fd=317))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 26609                     * 27444 users:(("ibus-portal",pid=2426,fd=1))                                                                                                                                                                                                      
u_dgr UNCONN 0      0                                                           * 25787                     * 0     users:(("pipewire",pid=1894,fd=33))                                                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 22708                     * 21732 users:(("dbus-daemon",pid=716,fd=35))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27788                     * 27789 users:(("gnome-shell",pid=2121,fd=36))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26591                     * 26592 users:(("gsd-printer",pid=2353,fd=7))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18414                     * 18412 users:(("systemd-journal",pid=381,fd=28),("systemd",pid=1,fd=239))                                                                                                                                                                         
u_str ESTAB  0      0                                          /run/user/1000/bus 28747                     * 28746 users:(("dbus-daemon",pid=1909,fd=63))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26465                     * 26464 users:(("dbus-daemon",pid=716,fd=80))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 25806                     * 25805 users:(("dbus-daemon",pid=1909,fd=15))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 28879                     * 27848 users:(("dbus-daemon",pid=1909,fd=74))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26803                     * 26802 users:(("systemd-journal",pid=381,fd=95),("systemd",pid=1,fd=136))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 29273                     * 29274 users:(("tracker-miner-f",pid=2681,fd=8))                                                                                                                                                                                                  
u_str ESTAB  0      0                                          /run/user/1000/bus 28755                     * 27786 users:(("dbus-daemon",pid=1909,fd=64))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27346                     * 27344 users:(("systemd-journal",pid=381,fd=119),("systemd",pid=1,fd=289))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 18375                     * 18392 users:(("accounts-daemon",pid=741,fd=2),("accounts-daemon",pid=741,fd=1))                                                                                                                                                                  
u_dgr ESTAB  0      0                                                           * 17034                     * 12171 users:(("systemd-timesyn",pid=538,fd=3))                                                                                                                                                                                                   
u_str ESTAB  0      0                                          /run/user/1000/bus 30273                     * 30272 users:(("dbus-daemon",pid=1909,fd=87))                                                                                                                                                                                                     
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 30260                     * 30259 users:(("gnome-shell",pid=2121,fd=149),("gnome-shell",pid=2121,fd=145))                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 27970                     * 29301 users:(("xdg-desktop-por",pid=2805,fd=13))                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 27934                     * 27933 users:(("dbus-daemon",pid=1909,fd=81))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27471                     * 27470 users:(("systemd-journal",pid=381,fd=131),("systemd",pid=1,fd=302))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 21838                     * 21842 users:(("cups-browsed",pid=1031,fd=5))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27873                     * 28915 users:(("gjs",pid=2652,fd=7))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26472                     * 26471 users:(("dbus-daemon",pid=716,fd=78))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27573                     * 27702 users:(("evolution-addre",pid=2499,fd=9))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26775                     * 26768 users:(("dbus-daemon",pid=716,fd=73))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 25770                     * 25544 users:(("pipewire",pid=1894,fd=32),("pipewire",pid=1894,fd=31),("pipewire",pid=1894,fd=30))                                                                                                                                                
u_dgr ESTAB  0      768                                                         * 23363                     * 23362 users:(("systemd",pid=1,fd=126))                                                                                                                                                                                                           
u_str ESTAB  0      0                                                           * 22783                     * 22784 users:(("kerneloops",pid=1121,fd=4))                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 15161                     * 15162 users:(("systemd-resolve",pid=535,fd=2),("systemd-resolve",pid=535,fd=1))                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 30333                     * 30334 users:(("gnome-terminal-",pid=2993,fd=7))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 29288                     * 27962 users:(("xdg-desktop-por",pid=2805,fd=2),("xdg-desktop-por",pid=2805,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26592                     * 26591 users:(("dbus-daemon",pid=716,fd=83))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 18412                     * 18414 users:(("cron",pid=744,fd=2),("cron",pid=744,fd=1))                                                                                                                                                                                        
u_str ESTAB  0      0                                          /run/user/1000/bus 28255                     * 30253 users:(("dbus-daemon",pid=1909,fd=26))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 29238                     * 27924 users:(("dbus-daemon",pid=716,fd=46))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28958                     * 28959 users:(("ibus-x11",pid=2783,fd=2),("ibus-x11",pid=2783,fd=1),("gsd-xsettings",pid=2693,fd=2),("gsd-xsettings",pid=2693,fd=1))                                                                                                              
u_str ESTAB  0      0                                                           * 27795                     * 27797 users:(("gsd-power",pid=2234,fd=10))                                                                                                                                                                                                       
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27444                     * 26609 users:(("systemd-journal",pid=381,fd=123),("systemd",pid=1,fd=291))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 24712                     * 23718 users:(("colord",pid=1487,fd=9))                                                                                                                                                                                                           
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 27702                     * 27573 users:(("dbus-daemon",pid=716,fd=88))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 26802                     * 26803 users:(("gnome-session-b",pid=1989,fd=3),("gnome-session-b",pid=1989,fd=2),("gnome-session-b",pid=1989,fd=1))                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 22784                     * 22783 users:(("dbus-daemon",pid=716,fd=37))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 15162                     * 15161 users:(("systemd-journal",pid=381,fd=24),("systemd",pid=1,fd=248))                                                                                                                                                                         
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27838                     * 27837 users:(("dbus-daemon",pid=2131,fd=17))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26471                     * 26472 users:(("gjs",pid=2207,fd=7))                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 25805                     * 25806 users:(("xdg-document-po",pid=1930,fd=5))                                                                                                                                                                                                  
u_dgr UNCONN 0      0                               /run/user/1000/systemd/notify 25349                     * 0     users:(("systemd",pid=1880,fd=18))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 30259                     * 30260 users:(("nautilus",pid=2944,fd=14))                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27933                     * 27934 users:(("ibus-x11",pid=2783,fd=5))                                                                                                                                                                                                         
u_str ESTAB  0      0                                          @/tmp/.X11-unix/X1 28972                     * 28971 users:(("Xwayland",pid=2488,fd=6))                                                                                                                                                                                                         
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27801                     * 27800 users:(("dbus-daemon",pid=2131,fd=13))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26610                     * 27445 users:(("ibus-portal",pid=2426,fd=2))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27388                     * 27387 users:(("systemd-journal",pid=381,fd=122),("systemd",pid=1,fd=294))                                                                                                                                                                        
u_str LISTEN 0      4096                           /run/user/1000/systemd/private 25352                     * 0     users:(("systemd",pid=1880,fd=21))                                                                                                                                                                                                         
u_str ESTAB  0      0                                         /run/cups/cups.sock 21842                     * 21838 users:(("cupsd",pid=1010,fd=19))                                                                                                                                                                                                           
u_str ESTAB  0      0                                                           * 22541                     * 22542 users:(("unattended-upgr",pid=1017,fd=4))                                                                                                                                                                                                  
u_str LISTEN 0      4096                                       /run/user/1000/bus 24555                     * 0     users:(("dbus-daemon",pid=1909,fd=3),("systemd",pid=1880,fd=30))                                                                                                                                                                           
u_str ESTAB  0      0                                                           * 27848                     * 28879 users:(("gjs",pid=2652,fd=5))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26479                     * 26478 users:(("dbus-daemon",pid=716,fd=81))                                                                                                                                                                                                      
u_dgr UNCONN 0      0                                                           * 27395                     * 0     users:(("at-spi2-registr",pid=2171,fd=9))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26719                     * 25866 users:(("wireplumber",pid=1904,fd=34),("wireplumber",pid=1904,fd=33),("wireplumber",pid=1904,fd=32))                                                                                                                                       
u_str ESTAB  0      0                                          /run/user/1000/bus 25778                     * 25777 users:(("dbus-daemon",pid=1909,fd=12))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 15049                     * 15048 users:(("systemd-journal",pid=381,fd=21),("systemd",pid=1,fd=250))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 28746                     * 28747 users:(("gvfsd-metadata",pid=2566,fd=5))                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 30244                     * 28253 users:(("nautilus",pid=2944,fd=1))                                                                                                                                                                                                         
u_str LISTEN 0      4096                           /run/user/1000/gnupg/S.dirmngr 24557                     * 0     users:(("systemd",pid=1880,fd=33))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 19464                     * 18507 users:(("switcheroo-cont",pid=746,fd=2),("switcheroo-cont",pid=746,fd=1))                                                                                                                                                                  
u_str ESTAB  0      0                        /run/user/1000/gvfsd/socket-U018faIE 28337                     * 30276 users:(("gvfsd-trash",pid=2567,fd=17))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27978                     * 27979 users:(("xdg-desktop-por",pid=2696,fd=21))                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 27975                     * 27976 users:(("xdg-desktop-por",pid=2696,fd=18))                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 29066                     * 27908 users:(("dbus-daemon",pid=1909,fd=78))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27786                     * 28755 users:(("gvfsd-trash",pid=2567,fd=5))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 26602                     * 26601 users:(("dbus-daemon",pid=1909,fd=51))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 21716                     * 22688 users:(("cups-browsed",pid=1031,fd=2),("cups-browsed",pid=1031,fd=1))                                                                                                                                                                      
u_str ESTAB  0      0                        /home/kali/.cache/ibus/dbus-c9Wha4yT 28675                     * 28674 users:(("ibus-daemon",pid=2214,fd=15))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26901                     * 26009 users:(("gvfsd-fuse",pid=2081,fd=6))                                                                                                                                                                                                       
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 25592                     * 25800 users:(("systemd-journal",pid=381,fd=91),("systemd",pid=1,fd=210))                                                                                                                                                                         
u_str LISTEN 0      5                                      /run/user/1000/gcr/ssh 24559                     * 0     users:(("gcr-ssh-agent",pid=2057,fd=3),("systemd",pid=1880,fd=34))                                                                                                                                                                         
u_dgr ESTAB  0      0                                                           * 21538                     * 12169 users:(("rpc.idmapd",pid=1041,fd=4))                                                                                                                                                                                                       
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27842                     * 27841 users:(("dbus-daemon",pid=2131,fd=19))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26462                     * 26463 users:(("gsd-sharing",pid=2251,fd=6))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 26617                     * 27450 users:(("ibus-portal",pid=2426,fd=8))                                                                                                                                                                                                      
u_str LISTEN 0      5                              /run/user/1000/keyring/control 24561                     * 0     users:(("gnome-keyring-d",pid=1913,fd=3),("systemd",pid=1880,fd=35))                                                                                                                                                                       
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 22714                     * 21737 users:(("dbus-daemon",pid=716,fd=36))                                                                                                                                                                                                      
u_dgr ESTAB  0      768                                                         * 14636                     * 14635 users:(("(udev-worker",pid=3074,fd=7),("systemd-udevd",pid=457,fd=7))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27962                     * 29288 users:(("systemd-journal",pid=381,fd=44),("systemd",pid=1,fd=107))                                                                                                                                                                         
u_str ESTAB  0      0                                          @/tmp/.X11-unix/X1 29243                     * 27930 users:(("Xwayland",pid=2488,fd=13))                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 28993                     * 28994 users:(("gsd-xsettings",pid=2693,fd=8))                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 27802                     * 27803 users:(("gsd-wacom",pid=2255,fd=11))                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 27337                     * 27338 users:(("gsd-color",pid=2220,fd=2),("gsd-color",pid=2220,fd=1))                                                                                                                                                                            
u_str LISTEN 0      4096                 /run/user/1000/gnupg/S.gpg-agent.browser 24563                     * 0     users:(("systemd",pid=1880,fd=36))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 24692                     * 24693 users:(("colord",pid=1487,fd=2),("colord",pid=1487,fd=1))                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18392                     * 18375 users:(("systemd-journal",pid=381,fd=33),("systemd",pid=1,fd=240))                                                                                                                                                                         
u_str LISTEN 0      4096                   /run/user/1000/gnupg/S.gpg-agent.extra 24565                     * 0     users:(("systemd",pid=1880,fd=37))                                                                                                                                                                                                         
u_str ESTAB  136    0                                                           * 27149                     * 27150 users:(("gnome-shell",pid=2121,fd=26))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26630                     * 25808 users:(("wireplumber",pid=1904,fd=21))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 22544                     * 22545 users:(("unattended-upgr",pid=1017,fd=7))                                                                                                                                                                                                  
u_str LISTEN 0      4096                         /run/user/1000/gnupg/S.gpg-agent 24568                     * 0     users:(("systemd",pid=1880,fd=40))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 27772                     * 28713 users:(("dconf-service",pid=2557,fd=5))                                                                                                                                                                                                    
u_str LISTEN 0      4096                           /run/user/1000/gnupg/S.keyboxd 24570                     * 0     users:(("systemd",pid=1880,fd=41))                                                                                                                                                                                                         
u_dgr UNCONN 0      0                                                           * 18794                     * 0     users:(("gnome-remote-de",pid=720,fd=6))                                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 25469                     * 25736 users:(("systemd-journal",pid=381,fd=88),("systemd",pid=1,fd=100))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 27151                     * 27152 users:(("gnome-shell",pid=2121,fd=27))                                                                                                                                                                                                     
u_str LISTEN 0      4096                              /run/user/1000/pulse/native 24572                     * 0     users:(("pipewire-pulse",pid=1908,fd=3),("systemd",pid=1880,fd=42))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18594                     * 18593 users:(("systemd-journal",pid=381,fd=37),("systemd",pid=1,fd=235))                                                                                                                                                                         
u_str LISTEN 0      4096                                /run/user/1000/pipewire-0 24574                     * 0     users:(("pipewire",pid=1894,fd=3),("systemd",pid=1880,fd=43))                                                                                                                                                                              
u_dgr ESTAB  0      0                                                           * 25350                     * 25351 users:(("systemd",pid=1880,fd=19))                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 27698                     * 27699 users:(("gnome-shell",pid=2121,fd=34))                                                                                                                                                                                                     
u_str LISTEN 0      4096                        /run/user/1000/pipewire-0-manager 24576                     * 0     users:(("pipewire",pid=1894,fd=4),("systemd",pid=1880,fd=44))                                                                                                                                                                              
u_str LISTEN 0      4096                         /run/user/1000/pk-debconf-socket 25602                     * 0     users:(("systemd",pid=1880,fd=45))                                                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 20348                     * 18930 users:(("dbus-daemon",pid=716,fd=27))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 18761                     * 18763 users:(("ModemManager",pid=817,fd=1))                                                                                                                                                                                                      
